Code,Region,Name,A&E attendances - Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage of attendances within 4 hours - Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions - Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RWE,NHS England Midlands ,University Hospitals Of Leicester NHS Trust,66695,5953,5581,372,0,0,0,72648,40762,5953,5581,372,0,0,0,46343,25933,5953,5581,372,0,0,0,26305,0.6379115736152406,0.6111702526426269,0.9375104989081136,-,20831,21,0,20852,11726,32578,6320,2336
RJE,NHS England Midlands ,University Hospitals Of North Midlands NHS Trust,44944,1472,1472,0,25345,24974,371,71761,20177,1472,1472,0,25345,24974,371,46623,24767,1472,1472,0,25345,24974,371,25138,0.6496983040927523,0.448936454254183,1,0.9853620043401066,14160,0,0,14160,3295,17455,6376,3011
RBK,NHS England Midlands ,Walsall Healthcare NHS Trust,28493,0,0,0,12065,11879,186,40558,19504,0,0,0,12065,11879,186,31383,8989,0,0,0,12065,11879,186,9175,0.7737807584200405,0.6845190046678131,-,0.9845835060091173,12718,0,0,12718,2646,15364,3997,1166
RWP,NHS England Midlands ,Worcestershire Acute Hospitals NHS Trust,40362,0,0,0,16038,15886,152,56400,22050,0,0,0,16038,15886,152,37936,18312,0,0,0,16038,15886,152,18464,0.6726241134751773,0.54630593132154,-,0.9905225090410276,9306,0,0,9306,2601,11907,5817,3325
RLQ,NHS England Midlands ,Wye Valley NHS Trust,17889,2767,2767,0,428,428,0,21084,10290,2767,2767,0,428,428,0,13485,7599,2767,2767,0,428,428,0,7599,0.6395845190665908,0.5752138185477109,1,1,4273,0,0,4273,411,4684,2201,743
RCF,NHS England North East And Yorkshire ,Airedale NHS Foundation Trust,18559,651,651,0,0,0,0,19210,11592,651,651,0,0,0,0,12243,6967,651,651,0,0,0,0,6967,0.6373243102550755,0.6246026186755752,1,-,4559,0,0,4559,1575,6134,2399,991
RFF,NHS England North East And Yorkshire ,Barnsley Hospital NHS Foundation Trust,27376,0,0,0,0,0,0,27376,20002,0,0,0,0,0,0,20002,7374,0,0,0,0,0,0,7374,0.7306399766218585,0.7306399766218585,-,-,9924,0,0,9924,1572,11496,1590,20
RAE,NHS England North East And Yorkshire ,Bradford Teaching Hospitals NHS Foundation Trust,27377,2988,2988,0,9427,9425,2,39792,20908,2988,2988,0,9427,9425,2,33321,6469,2988,2988,0,9427,9425,2,6471,0.8373793727382388,0.7637067611498704,1,0.9997878434284502,7425,0,48,7473,4018,11491,2052,243
NNF09,NHS England North East And Yorkshire ,Bransholme Health Centre,0,0,0,0,11287,10197,1090,11287,0,0,0,0,11287,10197,1090,10197,0,0,0,0,11287,10197,1090,1090,0.9034287233100027,-,-,0.9034287233100027,0,0,0,0,0,0,0,0
NNF16,NHS England North East And Yorkshire ,Bridlington Hospital,0,0,0,0,4419,4308,111,4419,0,0,0,0,4419,4308,111,4308,0,0,0,0,4419,4308,111,111,0.9748811948404617,-,-,0.9748811948404617,0,0,0,0,0,0,0,0
RWY,NHS England North East And Yorkshire ,Calderdale And Huddersfield NHS Foundation Trust,46347,0,0,0,0,0,0,46347,38839,0,0,0,0,0,0,38839,7508,0,0,0,0,0,0,7508,0.8380046173430858,0.8380046173430858,-,-,8627,0,0,8627,560,9187,4011,333
RXP,NHS England North East And Yorkshire ,County Durham And Darlington NHS Foundation Trust,37645,0,0,0,32107,32107,0,69752,21740,0,0,0,32107,32107,0,53847,15905,0,0,0,32107,32107,0,15905,0.7719778644339947,0.577500332049409,-,1,13276,0,0,13276,2464,15740,5575,73
RP5,NHS England North East And Yorkshire ,Doncaster And Bassetlaw Teaching Hospitals NHS Foundation Trust,40704,0,0,0,11905,11893,12,52609,26052,0,0,0,11905,11893,12,37945,14652,0,0,0,11905,11893,12,14664,0.7212644224372255,0.6400353773584906,-,0.9989920201595968,11807,0,1170,12977,3257,16234,4103,636
NNF94,NHS England North East And Yorkshire ,East Riding Community Hospital,0,0,0,0,8165,7688,477,8165,0,0,0,0,8165,7688,477,7688,0,0,0,0,8165,7688,477,477,0.941579914268218,-,-,0.941579914268218,0,0,0,0,0,0,0,0
RR7,NHS England North East And Yorkshire ,Gateshead Health NHS Foundation Trust,17304,0,0,0,12964,12831,133,30268,9290,0,0,0,12964,12831,133,22121,8014,0,0,0,12964,12831,133,8147,0.7308378485529272,0.5368700878409616,-,0.9897408207343412,5054,0,0,5054,158,5212,2526,15
NNFA7,NHS England North East And Yorkshire ,Goole & District Hospital,0,0,0,0,5026,4966,60,5026,0,0,0,0,5026,4966,60,4966,0,0,0,0,5026,4966,60,60,0.9880620771985674,-,-,0.9880620771985674,0,0,0,0,0,0,0,0
RCD,NHS England North East And Yorkshire ,Harrogate And District NHS Foundation Trust,15743,0,0,0,4243,4234,9,19986,10906,0,0,0,4243,4234,9,15140,4837,0,0,0,4243,4234,9,4846,0.7575302711898328,0.6927523343708315,-,0.9978788592976667,3333,0,0,3333,940,4273,1029,65
RWA,NHS England North East And Yorkshire ,Hull University Teaching Hospitals NHS Trust,29125,0,0,0,12423,11562,861,41548,13962,0,0,0,12423,11562,861,25524,15163,0,0,0,12423,11562,861,16024,0.6143255993068258,0.47938197424892703,-,0.9306930693069307,11677,0,0,11677,6372,18049,4472,1641
RV9,NHS England North East And Yorkshire ,Humber Teaching NHS Foundation Trust,0,0,0,0,3153,3146,7,3153,0,0,0,0,3153,3146,7,3146,0,0,0,0,3153,3146,7,7,0.9977798921661909,-,-,0.9977798921661909,0,0,0,0,0,0,0,0
RR8,NHS England North East And Yorkshire ,Leeds Teaching Hospitals NHS Trust,53855,2210,2210,0,33413,32639,774,89478,33020,2210,2210,0,33413,32639,774,67869,20835,2210,2210,0,33413,32639,774,21609,0.7584992959163146,0.6131278432828893,1,0.9768353634812798,10767,0,0,10767,3699,14466,6127,2478
ARN03,NHS England North East And Yorkshire ,Local Care Direct,0,0,0,0,7741,7714,27,7741,0,0,0,0,7741,7714,27,7714,0,0,0,0,7741,7714,27,27,0.996512078542824,-,-,0.996512078542824,0,0,0,0,0,0,0,0
RXF,NHS England North East And Yorkshire ,Mid Yorkshire Hospitals NHS Trust,48066,386,386,0,19125,18523,602,67577,29909,386,386,0,19125,18523,602,48818,18157,386,386,0,19125,18523,602,18759,0.722405552184915,0.6222485748762119,1,0.9685228758169935,9907,0,466,10373,2549,12922,8397,1956
RNN,NHS England North East And Yorkshire ,North Cumbria Integrated Care NHS Foundation Trust,26352,0,0,0,4852,4657,195,31204,14352,0,0,0,4852,4657,195,19009,12000,0,0,0,4852,4657,195,12195,0.6091847199077042,0.5446265938069217,-,0.9598103874690849,6043,0,0,6043,1325,7368,3192,1327
RVW,NHS England North East And Yorkshire ,North Tees And Hartlepool NHS Foundation Trust,14678,0,0,0,33289,33213,76,47967,6727,0,0,0,33289,33213,76,39940,7951,0,0,0,33289,33213,76,8027,0.8326557841849604,0.4583049461779534,-,0.9977169635615368,5064,0,1368,6432,7399,13831,767,105
RJL,NHS England North East And Yorkshire ,Northern Lincolnshire And Goole NHS Foundation Trust,30013,0,0,0,20682,20520,162,50695,15083,0,0,0,20682,20520,162,35603,14930,0,0,0,20682,20520,162,15092,0.7022980570075944,0.5025488954786259,-,0.9921671018276762,16541,0,0,16541,1224,17765,4714,2728
RTF,NHS England North East And Yorkshire ,Northumbria Healthcare NHS Foundation Trust,30962,0,0,0,38167,38163,4,69129,22998,0,0,0,38167,38163,4,61161,7964,0,0,0,38167,38163,4,7968,0.8847372303953478,0.7427814740649828,-,0.9998951974218566,12330,0,31,12361,1473,13834,156,0
RCU,NHS England North East And Yorkshire ,Sheffield Children's NHS Foundation Trust,13489,0,0,0,1397,1396,1,14886,12756,0,0,0,1397,1396,1,14152,733,0,0,0,1397,1396,1,734,0.9506919252989386,0.9456594261991252,-,0.9992841803865425,3156,0,0,3156,282,3438,27,0
RHQ,NHS England North East And Yorkshire ,Sheffield Teaching Hospitals NHS Foundation Trust,27160,3692,3573,119,24399,23448,951,55251,13032,3692,3573,119,24399,23448,951,40053,14128,3692,3573,119,24399,23448,951,15198,0.7249280556008036,0.4798232695139912,0.9677681473456121,0.9610229927456043,9503,0,0,9503,10419,19922,3387,30
RTR,NHS England North East And Yorkshire ,South Tees Hospitals NHS Foundation Trust,22353,0,0,0,33473,32175,1298,55826,11261,0,0,0,33473,32175,1298,43436,11092,0,0,0,33473,32175,1298,12390,0.7780604019632429,0.50378025320986,-,0.9612224778179428,6977,0,940,7917,7571,15488,1363,99
R0B,NHS England North East And Yorkshire ,South Tyneside And Sunderland NHS Foundation Trust,35958,3790,3740,50,20570,19909,661,60318,19280,3790,3740,50,20570,19909,661,42929,16678,3790,3740,50,20570,19909,661,17389,0.7117112636360622,0.5361811001724234,0.9868073878627969,0.9678658240155567,13809,70,0,13879,3369,17248,2118,1
RXG,NHS England North East And Yorkshire ,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,398,398,0,0
RTD,NHS England North East And Yorkshire ,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,33330,5091,4840,251,28968,28543,425,67389,18639,5091,4840,251,28968,28543,425,52022,14691,5091,4840,251,28968,28543,425,15367,0.7719657510869726,0.5592259225922592,0.9506973089766254,0.9853286384976526,11598,86,0,11684,8722,20406,1689,100
RFR,NHS England North East And Yorkshire ,The Rotherham NHS Foundation Trust,28320,0,0,0,0,0,0,28320,18916,0,0,0,0,0,0,18916,9404,0,0,0,0,0,0,9404,0.6679378531073447,0.6679378531073447,-,-,5014,0,0,5014,1528,6542,2949,206
AJN,NHS England North East And Yorkshire ,Workington Health Limited,0,0,0,0,1156,1156,0,1156,0,0,0,0,1156,1156,0,1156,0,0,0,0,1156,1156,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RCB,NHS England North East And Yorkshire ,York And Scarborough Teaching Hospitals NHS Foundation Trust,33496,1006,1006,0,19351,18416,935,53853,16248,1006,1006,0,19351,18416,935,35670,17248,1006,1006,0,19351,18416,935,18183,0.6623586429725363,0.4850728445187485,1,0.9516820836132499,15241,0,0,15241,4922,20163,3821,1573
RBS,NHS England North West ,Alder Hey Children's NHS Foundation Trust,18228,0,0,0,0,0,0,18228,15194,0,0,0,0,0,0,15194,3034,0,0,0,0,0,0,3034,0.8335527759490893,0.8335527759490893,-,-,2785,0,0,2785,652,3437,0,0
RXL,NHS England North West ,Blackpool Teaching Hospitals NHS Foundation Trust,26301,0,0,0,30440,29767,673,56741,14631,0,0,0,30440,29767,673,44398,11670,0,0,0,30440,29767,673,12343,0.7824677041292892,0.5562906353370595,-,0.9778909329829172,7034,0,0,7034,5408,12442,2988,1535
RMC,NHS England North West ,Bolton NHS Foundation Trust,24425,0,0,0,10463,9688,775,34888,12904,0,0,0,10463,9688,775,22592,11521,0,0,0,10463,9688,775,12296,0.6475578995643201,0.5283111566018424,-,0.9259294657364044,7742,0,372,8114,2841,10955,2777,1388
RY2,NHS England North West ,Bridgewater Community Healthcare NHS Foundation Trust,0,0,0,0,9729,9592,137,9729,0,0,0,0,9729,9592,137,9592,0,0,0,0,9729,9592,137,137,0.9859183883235687,-,-,0.9859183883235687,0,0,0,0,0,0,0,0
RJR,NHS England North West ,Countess Of Chester Hospital NHS Foundation Trust,15672,0,0,0,7353,6188,1165,23025,7454,0,0,0,7353,6188,1165,13642,8218,0,0,0,7353,6188,1165,9383,0.592486427795874,0.4756253190403267,-,0.8415612675098599,5410,0,0,5410,3792,9202,3169,2390
RJN,NHS England North West ,East Cheshire NHS Trust,12772,0,0,0,212,212,0,12984,5898,0,0,0,212,212,0,6110,6874,0,0,0,212,212,0,6874,0.4705791743684535,0.4617914187284685,-,1,2322,0,0,2322,527,2849,1960,1242
RXR,NHS England North West ,East Lancashire Hospitals NHS Trust,39635,0,0,0,32805,31572,1233,72440,25640,0,0,0,32805,31572,1233,57212,13995,0,0,0,32805,31572,1233,15228,0.7897846493649917,0.6469029897817585,-,0.9624142661179699,11989,0,279,12268,5259,17527,4577,3443
RXN,NHS England North West ,Lancashire Teaching Hospitals NHS Foundation Trust,35635,0,0,0,9710,9133,577,45345,22276,0,0,0,9710,9133,577,31409,13359,0,0,0,9710,9133,577,13936,0.6926673282611093,0.6251157569804967,-,0.9405767250257466,8926,0,324,9250,3786,13036,4419,1284
RBQ,NHS England North West ,Liverpool Heart And Chest Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,418,418,0,0
REM,NHS England North West ,Liverpool University Hospitals NHS Foundation Trust,48712,5459,5459,0,23471,22374,1097,77642,24941,5459,5459,0,23471,22374,1097,52774,23771,5459,5459,0,23471,22374,1097,24868,0.6797094356147446,0.5120093611430448,1,0.953261471603255,15398,0,0,15398,7266,22664,6216,3843
REP,NHS England North West ,Liverpool Women's NHS Foundation Trust,0,4591,4070,521,0,0,0,4591,0,4591,4070,521,0,0,0,4070,0,4591,4070,521,0,0,0,521,0.8865170986713135,-,0.8865170986713135,-,0,344,0,344,45,389,0,0
R0A,NHS England North West ,Manchester University NHS Foundation Trust,88687,10916,10491,425,34689,33639,1050,134292,55095,10916,10491,425,34689,33639,1050,99225,33592,10916,10491,425,34689,33639,1050,35067,0.7388749888303101,0.6212297179970007,0.961066324661048,0.9697310386577878,17659,428,319,18406,1283,19689,11158,324
RW4,NHS England North West ,Mersey Care NHS Foundation Trust,0,0,0,0,39561,38369,1192,39561,0,0,0,0,39561,38369,1192,38369,0,0,0,0,39561,38369,1192,1192,0.9698693157402493,-,-,0.9698693157402493,0,0,0,0,111,111,0,0
RBT,NHS England North West ,Mid Cheshire Hospitals NHS Foundation Trust,20870,0,0,0,9025,9006,19,29895,9784,0,0,0,9025,9006,19,18790,11086,0,0,0,9025,9006,19,11105,0.6285331995316943,0.468806899856253,-,0.9978947368421053,7258,0,0,7258,2341,9599,3062,1889
Y02532,NHS England North West ,Miriam Minor Emergency,0,0,0,0,4851,4851,0,4851,0,0,0,0,4851,4851,0,4851,0,0,0,0,4851,4851,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RM3,NHS England North West ,Northern Care Alliance NHS Foundation Trust,77006,0,0,0,27275,26506,769,104281,47599,0,0,0,27275,26506,769,74105,29407,0,0,0,27275,26506,769,30176,0.7106280146910751,0.618120665922136,-,0.9718056828597617,22403,0,1055,23458,7026,30484,6612,3980
NV693,NHS England North West ,Rossendale Miu & Ooh,0,0,0,0,2577,2575,2,2577,0,0,0,0,2577,2575,2,2575,0,0,0,0,2577,2575,2,2,0.9992239037640668,-,-,0.9992239037640668,0,0,0,0,0,0,0,0
NQT5F,NHS England North West ,Skelmersdale Walk In Centre,0,0,0,0,4724,4685,39,4724,0,0,0,0,4724,4685,39,4685,0,0,0,0,4724,4685,39,39,0.9917442845046571,-,-,0.9917442845046571,0,0,0,0,0,0,0,0
RBN,NHS England North West ,St Helens And Knowsley Teaching Hospitals NHS Trust,51751,0,0,0,21192,20984,208,72943,32334,0,0,0,21192,20984,208,53318,19417,0,0,0,21192,20984,208,19625,0.7309543067874916,0.6247995207822071,-,0.9901849754624387,22367,0,0,22367,1980,24347,2825,1567
RWJ,NHS England North West ,Stockport NHS Foundation Trust,24239,0,0,0,7188,7015,173,31427,14517,0,0,0,7188,7015,173,21532,9722,0,0,0,7188,7015,173,9895,0.6851433480764947,0.5989108461570197,-,0.9759321090706733,7604,0,218,7822,3009,10831,2977,1202
RMP,NHS England North West ,Tameside And Glossop Integrated Care NHS Foundation Trust,25721,0,0,0,8558,8288,270,34279,13480,0,0,0,8558,8288,270,21768,12241,0,0,0,8558,8288,270,12511,0.6350243589369585,0.5240853777069321,-,0.968450572563683,4892,0,0,4892,827,5719,2832,1879
RBV,NHS England North West ,The Christie NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,2457,2457,0,0
RET,NHS England North West ,The Walton Centre NHS Foundation Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,500,500,0,0
RTX,NHS England North West ,University Hospitals Of Morecambe Bay NHS Foundation Trust,25597,0,0,0,13168,12757,411,38765,14464,0,0,0,13168,12757,411,27221,11133,0,0,0,13168,12757,411,11544,0.7022055978330969,0.5650662186975036,-,0.9687879708383961,9192,0,57,9249,2778,12027,4077,2183
RWW,NHS England North West ,Warrington And Halton Teaching Hospitals NHS Foundation Trust,20546,0,0,0,8391,8302,89,28937,10229,0,0,0,8391,8302,89,18531,10317,0,0,0,8391,8302,89,10406,0.6403911946642706,0.4978584639345858,-,0.989393397687999,5321,0,0,5321,421,5742,4257,2797
RY7,NHS England North West ,Wirral Community Health And Care NHS Foundation Trust,0,0,0,0,9696,9056,640,9696,0,0,0,0,9696,9056,640,9056,0,0,0,0,9696,9056,640,640,0.933993399339934,-,-,0.933993399339934,0,0,0,0,0,0,0,0
RBL,NHS England North West ,Wirral University Teaching Hospital NHS Foundation Trust,23287,0,0,0,8726,8487,239,32013,10603,0,0,0,8726,8487,239,19090,12684,0,0,0,8726,8487,239,12923,0.5963202449005092,0.45531841800146006,-,0.9726105890442356,6513,0,0,6513,5710,12223,3821,2435
RRF,NHS England North West ,"Wrightington, Wigan And Leigh NHS Foundation Trust",20544,0,0,0,16556,16200,356,37100,9759,0,0,0,16556,16200,356,25959,10785,0,0,0,16556,16200,356,11141,0.6997035040431266,0.47502920560747663,-,0.9784972215510993,6107,0,0,6107,1207,7314,3241,1494
RTK,NHS England South East ,Ashford And St Peter's Hospitals NHS Foundation Trust,22628,0,0,0,7983,7877,106,30611,11431,0,0,0,7983,7877,106,19308,11197,0,0,0,7983,7877,106,11303,0.6307536506484597,0.5051705851157857,-,0.986721783790555,8447,0,0,8447,1529,9976,2776,1187
NTV0B,NHS England South East ,Ashford Walk-In-Centre,0,0,0,0,7051,6948,103,7051,0,0,0,0,7051,6948,103,6948,0,0,0,0,7051,6948,103,103,0.9853921429584456,-,-,0.9853921429584456,0,0,0,0,0,0,0,0
RWX,NHS England South East ,Berkshire Healthcare NHS Foundation Trust,0,0,0,0,3962,3924,38,3962,0,0,0,0,3962,3924,38,3924,0,0,0,0,3962,3924,38,38,0.9904088844018173,-,-,0.9904088844018173,0,0,93,93,0,93,0,0
Y02676,NHS England South East ,Brighton Station Health Centre,0,0,0,0,5401,5401,0,5401,0,0,0,0,5401,5401,0,5401,0,0,0,0,5401,5401,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RXQ,NHS England South East ,Buckinghamshire Healthcare NHS Trust,27615,3538,3538,0,8788,8671,117,39941,17570,3538,3538,0,8788,8671,117,29779,10045,3538,3538,0,8788,8671,117,10162,0.7455747227160061,0.6362484157160964,1,0.9866863905325444,10108,2589,0,12697,3553,16250,1614,1039
RN7,NHS England South East ,Dartford And Gravesham NHS Trust,34558,0,0,0,11337,11268,69,45895,25671,0,0,0,11337,11268,69,36939,8887,0,0,0,11337,11268,69,8956,0.8048589170933653,0.7428381272064356,-,0.9939137337920084,11210,0,0,11210,922,12132,3058,1343
RVV,NHS England South East ,East Kent Hospitals University NHS Foundation Trust,40949,0,0,0,35891,34440,1451,76840,22729,0,0,0,35891,34440,1451,57169,18220,0,0,0,35891,34440,1451,19671,0.7440005205622072,0.5550562895308798,-,0.9595720375581622,8615,0,1604,10219,1529,11748,4849,3240
RXC,NHS England South East ,East Sussex Healthcare NHS Trust,33131,0,0,0,10653,10527,126,43784,21249,0,0,0,10653,10527,126,31776,11882,0,0,0,10653,10527,126,12008,0.7257445642243742,0.64136307385832,-,0.9881723458180794,8704,0,0,8704,1545,10249,995,368
AQM01,NHS England South East ,Faversham Medical Practice Miu,0,0,0,0,9145,9145,0,9145,0,0,0,0,9145,9145,0,9145,0,0,0,0,9145,9145,0,0,1,-,-,1,0,0,0,0,0,0,0,0
NDJ,NHS England South East ,First Community Health And Care Cic,0,0,0,0,6643,6597,46,6643,0,0,0,0,6643,6597,46,6597,0,0,0,0,6643,6597,46,46,0.9930754177329519,-,-,0.9930754177329519,0,0,0,0,0,0,0,0
RDU,NHS England South East ,Frimley Health NHS Foundation Trust,67806,2503,2500,3,33548,32790,758,103857,40500,2503,2500,3,33548,32790,758,75790,27306,2503,2500,3,33548,32790,758,28067,0.7297534109400425,0.5972922750199098,0.9988014382740711,0.9774055085250983,19577,0,0,19577,405,19982,5664,2093
RN5,NHS England South East ,Hampshire Hospitals NHS Foundation Trust,30427,192,192,0,12771,11916,855,43390,14347,192,192,0,12771,11916,855,26455,16080,192,192,0,12771,11916,855,16935,0.6097026964738419,0.471522003483748,1,0.9330514446793516,10919,22,195,11136,3146,14282,836,84
NVE43,NHS England South East ,Hastings GP Led Health Centre,0,0,0,0,2896,2896,0,2896,0,0,0,0,2896,2896,0,2896,0,0,0,0,2896,2896,0,0,1,-,-,1,0,0,0,0,0,0,0,0
DJV01,NHS England South East ,Herne Bay Health Care Ltd,0,0,0,0,7717,7717,0,7717,0,0,0,0,7717,7717,0,7717,0,0,0,0,7717,7717,0,0,1,-,-,1,0,0,0,0,0,0,0,0
R1F,NHS England South East ,Isle Of Wight NHS Trust,11927,674,674,0,4438,4168,270,17039,7642,674,674,0,4438,4168,270,12484,4285,674,674,0,4438,4168,270,4555,0.7326721051704912,0.6407311142785277,1,0.9391617845876521,4129,0,0,4129,319,4448,1430,662
RYY,NHS England South East ,Kent Community Health NHS Foundation Trust,0,0,0,0,19314,19202,112,19314,0,0,0,0,19314,19202,112,19202,0,0,0,0,19314,19202,112,112,0.9942010976493735,-,-,0.9942010976493735,0,0,0,0,0,0,0,0
RWF,NHS England South East ,Maidstone And Tunbridge Wells NHS Trust,58509,0,0,0,6328,6262,66,64837,44226,0,0,0,6328,6262,66,50488,14283,0,0,0,6328,6262,66,14349,0.7786911794191588,0.755883710198431,-,0.9895701643489254,7047,0,0,7047,2072,9119,3882,1133
RPA,NHS England South East ,Medway NHS Foundation Trust,28802,0,0,0,20453,17745,2708,49255,18338,0,0,0,20453,17745,2708,36083,10464,0,0,0,20453,17745,2708,13172,0.7325753730585728,0.6366918963960836,-,0.8675988852491077,5135,0,0,5135,1387,6522,3231,2357
RNU,NHS England South East ,Oxford Health NHS Foundation Trust,0,0,0,0,11551,11177,374,11551,0,0,0,0,11551,11177,374,11177,0,0,0,0,11551,11177,374,374,0.9676218509219982,-,-,0.9676218509219982,0,0,0,0,0,0,0,0
RTH,NHS England South East ,Oxford University Hospitals NHS Foundation Trust,40667,5082,5082,0,10672,10486,186,56421,29339,5082,5082,0,10672,10486,186,44907,11328,5082,5082,0,10672,10486,186,11514,0.7959270484394109,0.7214449061892936,1,0.9825712143928036,15497,274,55,15826,13383,29209,1294,28
AQN04,NHS England South East ,Phl Lymington Utc,0,0,0,0,8542,8492,50,8542,0,0,0,0,8542,8492,50,8492,0,0,0,0,8542,8492,50,50,0.9941465698899555,-,-,0.9941465698899555,0,0,0,0,0,0,0,0
RHU,NHS England South East ,Portsmouth Hospitals University National Health Service Trust,37408,3346,3298,48,11924,11882,42,52678,23892,3346,3298,48,11924,11882,42,39072,13516,3346,3298,48,11924,11882,42,13606,0.7417138084209727,0.6386869118905047,0.9856545128511656,0.9964776920496478,9553,0,0,9553,7387,16940,5812,3340
NTP11,NHS England South East ,Practice Plus Group Hospital - Southampton,0,0,0,0,15205,14917,288,15205,0,0,0,0,15205,14917,288,14917,0,0,0,0,15205,14917,288,288,0.9810588622163762,-,-,0.9810588622163762,0,0,0,0,0,0,0,0
NTPAD,NHS England South East ,Practice Plus Group Surgical Centre - St Marys Portsmouth,0,0,0,0,15695,15097,598,15695,0,0,0,0,15695,15097,598,15097,0,0,0,0,15695,15097,598,598,0.961898693851545,-,-,0.961898693851545,0,0,0,0,0,0,0,0
RPC,NHS England South East ,Queen Victoria Hospital NHS Foundation Trust,0,0,0,0,3648,3613,35,3648,0,0,0,0,3648,3613,35,3613,0,0,0,0,3648,3613,35,35,0.9904057017543859,-,-,0.9904057017543859,0,0,12,12,1491,1503,0,0
RHW,NHS England South East ,Royal Berkshire NHS Foundation Trust,36660,7581,7393,188,8066,8066,0,52307,23869,7581,7393,188,8066,8066,0,39328,12791,7581,7393,188,8066,8066,0,12979,0.7518687747337832,0.6510911074740862,0.9752011607967287,1,6712,0,0,6712,1045,7757,1602,91
RA2,NHS England South East ,Royal Surrey County Hospital NHS Foundation Trust,22759,0,0,0,5994,5993,1,28753,14831,0,0,0,5994,5993,1,20824,7928,0,0,0,5994,5993,1,7929,0.7242374708726046,0.651654290610308,-,0.9998331664998331,6899,0,0,6899,3308,10207,1538,159
RW1,NHS England South East ,Southern Health NHS Foundation Trust,0,0,0,0,8547,8459,88,8547,0,0,0,0,8547,8459,88,8459,0,0,0,0,8547,8459,88,88,0.9897039897039897,-,-,0.9897039897039897,0,0,2,2,383,385,0,0
RTP,NHS England South East ,Surrey And Sussex Healthcare NHS Trust,29851,0,0,0,0,0,0,29851,16604,0,0,0,0,0,0,16604,13247,0,0,0,0,0,0,13247,0.5562292720511876,0.5562292720511876,-,-,8734,0,0,8734,2795,11529,3697,2100
RDR,NHS England South East ,Sussex Community NHS Foundation Trust,0,0,0,0,33160,32722,438,33160,0,0,0,0,33160,32722,438,32722,0,0,0,0,33160,32722,438,438,0.9867913148371532,-,-,0.9867913148371532,0,0,0,0,0,0,0,0
RHM,NHS England South East ,University Hospital Southampton NHS Foundation Trust,33097,3490,3364,126,0,0,0,36587,22576,3490,3364,126,0,0,0,25940,10521,3490,3364,126,0,0,0,10647,0.7089949982234127,0.6821162038855485,0.9638968481375358,-,11481,25,0,11506,4759,16265,1080,32
RYR,NHS England South East ,University Hospitals Sussex NHS Foundation Trust,83963,4611,4519,92,6377,5713,664,94951,49349,4611,4519,92,6377,5713,664,59581,34614,4611,4519,92,6377,5713,664,35370,0.6274920748596644,0.5877469837904792,0.9800477119930601,0.8958758036694371,25116,80,254,25450,5389,30839,5827,3147
ACH01,NHS England South East ,Whitstable Medical Practice,0,0,0,0,14508,14508,0,14508,0,0,0,0,14508,14508,0,14508,0,0,0,0,14508,14508,0,0,1,-,-,1,0,0,0,0,0,0,0,0
