Code,Region,Name,A&E attendances - Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage of attendances within 4 hours - Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions - Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
G0Q0L,NHS England London,Barking Hospital Utc,0,0,0,0,8285,8240,45,8285,0,0,0,0,8285,8240,45,8240,0,0,0,0,8285,8240,45,45,0.9945684972842487,-,-,0.9945684972842487,0,0,0,0,0,0,0,0
RF4,NHS England London,"Barking, Havering And Redbridge University Hospitals NHS Trust",40147,7163,5826,1337,42098,41536,562,89408,22059,7163,5826,1337,42098,41536,562,69421,18088,7163,5826,1337,42098,41536,562,19987,0.7764517716535433,0.5494557501183152,0.8133463632556192,0.9866501971590099,10680,0,0,10680,5907,16587,4310,2597
R1H,NHS England London,Barts Health NHS Trust,76263,2508,2490,18,52242,49367,2875,131013,44283,2508,2490,18,52242,49367,2875,96140,31980,2508,2490,18,52242,49367,2875,34873,0.7338203079083755,0.5806616576845914,0.992822966507177,0.9449676505493664,12755,2,121,12878,4012,16890,6811,3830
AD913,NHS England London,Beckenham Beacon Ucc,0,0,0,0,10741,10707,34,10741,0,0,0,0,10741,10707,34,10707,0,0,0,0,10741,10707,34,34,0.9968345591658132,-,-,0.9968345591658132,0,0,0,0,0,0,0,0
RYX,NHS England London,Central London Community Healthcare NHS Trust,0,0,0,0,36718,36140,578,36718,0,0,0,0,36718,36140,578,36140,0,0,0,0,36718,36140,578,578,0.9842584018737404,-,-,0.9842584018737404,0,0,0,0,0,0,0,0
RQM,NHS England London,Chelsea And Westminster Hospital NHS Foundation Trust,61005,0,0,0,19213,18472,741,80218,44315,0,0,0,19213,18472,741,62787,16690,0,0,0,19213,18472,741,17431,0.7827046298835673,0.7264158675518401,-,0.9614323635038776,8457,0,0,8457,1165,9622,3168,142
RJ6,NHS England London,Croydon Health Services NHS Trust,39171,0,0,0,14887,14887,0,54058,25465,0,0,0,14887,14887,0,40352,13706,0,0,0,14887,14887,0,13706,0.7464575086018721,0.6500982869980343,-,1,3316,0,0,3316,432,3748,2907,2177
RVR,NHS England London,Epsom And St Helier University Hospitals NHS Trust,33269,0,0,0,6317,5813,504,39586,23485,0,0,0,6317,5813,504,29298,9784,0,0,0,6317,5813,504,10288,0.7401101399484666,0.7059124109531396,-,0.9202152920690201,6135,0,0,6135,344,6479,4121,2409
RJ1,NHS England London,Guy's And St Thomas' NHS Foundation Trust,30643,0,0,0,19764,19238,526,50407,18772,0,0,0,19764,19238,526,38010,11871,0,0,0,19764,19238,526,12397,0.7540619358422441,0.6126032046470646,-,0.9733859542602712,6155,0,0,6155,773,6928,626,195
K6K0R,NHS England London,Harold Wood Polyclinic Utc,0,0,0,0,8388,8343,45,8388,0,0,0,0,8388,8343,45,8343,0,0,0,0,8388,8343,45,45,0.9946351931330472,-,-,0.9946351931330472,0,0,0,0,0,0,0,0
